"name" "iF" "mF" "oF" "nF" "vF" "iM" "mM" "oM" "nM" "vM" "iN" "mN" "oN" "nN" "vN" "iA" "mA" "oA" "nA" "vA" "iFM" "mFM" "oFM" "nFM" "vFM" "iMN" "mMN" "oMN" "nMN" "vMN" "iFN" "mFN" "oFN" "nFN" "vFN" "notesF" "notesM" "notesN" "language" "int" "mouth" "nasal" "height" "front" "asp" "glot" "onset" "vC" "iC" "oC" "nC" "mC"
"11" "short_clip_Chapalaa_CHSF2011-02-15S5_55_15" "f" "o" "h" "o" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "False" "False" "True" NA NA NA "Chapalaa" -3 2 2 0 0 NA NA 0 "a a a" "f f f" "h g z" "o n n" "o o o"
"12" "short_clip_Chapalaa_CHSF2011-02-15S5_56_57" "f" "o" "g" "o" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "@" "True" "True" "False" "False" "False" "True" "True" "True" "False" "True" "True" "True" "False" "True" "False" "True" "True" "False" "False" "False" NA "v: but higher than a, towards ae." "v: could be a" "Chapalaa" -3 2 2 1 0 NA 2 -2 "a a @" "f f f" "g g z" "o n n" "o o o"
"13" "short_clip_Chapalaa_CHSF2011-02-15S5_57_45" "f" "o" "z" "n" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA "v: bit more central." NA "Chapalaa" -3 2 3 0 0 NA 1 -1 "a a a" "f f f" "z g z" "n n n" "o o o"
"14" "short_clip_Chapalaa_CHSF2011-02-15S5_evening_at_vicentes_house_1187300" "f" "o" "z" "o" "a" "f" "o" "x" "n" "@" "f" "o" "z" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "False" "True" "True" "True" "False" "True" NA "p: fairly large range, is this long-distance?." NA "Chapalaa" -3 2 2 1 0 NA NA NA "a @ a" "f f f" "z x z" "o n n" "o o o"
"15" "short_clip_Chapalaa_CHSF2011-02-15S5_evening_at_vicentes_house_1202203" "f" "o" "g" "o" "a" "f" "o" "x" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "False" "False" "True" NA NA NA "Chapalaa" -3 2 2 0 0 NA NA NA "a a a" "f f f" "g x z" "o n n" "o o o"
"16" "short_clip_Chapalaa_CHSF2011-02-15S5_evening_at_vicentes_house_1475999" "f" "c" "g" "o" "a" "f" "o" "g" "n" "a" "f" "o" "g" "n" "a" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "True" "True" "True" "True" "True" "False" "True" "False" "True" NA NA NA "Chapalaa" -3 0 2 0 0 NA 3 -3 "a a a" "f f f" "g g g" "o n n" "c o o"
"17" "short_clip_Chapalaa_CHSF2011-02-15S5_evening_at_vicentes_house_1666275" "x" "x" "x" "x" "x" "l" "o" "g" "n" "@" "l" "o" "z" "n" "a" "False" "False" "False" "False" "False" "False" "False" "False" "False" "False" "True" "True" "False" "True" "False" "False" "False" "False" "False" "False" NA NA NA "Chapalaa" NA NA NA NA NA NA NA NA "x @ a" "x l l" "x g z" "x n n" "x o o"
"18" "short_clip_Chapalaa_CHSF2012_01_06_109787_112564" "f" "c" "z" "n" "x" "f" "c" "z" "n" "x" "f" "c" "g" "n" "x" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" NA NA NA "Chapalaa" -3 -4 3 NA NA NA 1 -1 "x x x" "f f f" "z z g" "n n n" "c c c"
"19" "short_clip_Chapalaa_CHSF2012_01_06_222725_226247" "l" "o" "z" "o" "a" "l" "o" "g" "n" "a" "l" "o" "g" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "True" "True" "True" "True" "True" "False" "False" "True" NA NA NA "Chapalaa" 0 2 2 0 0 NA 2 -2 "a a a" "l l l" "z g g" "o n n" "o o o"
"20" "short_clip_Chapalaa_CHSF2012_01_06_2594180_2599020" "f" "o" "g" "n" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" NA "o: not sure bc sound quality but sounds like g. v: bit towards central." NA "Chapalaa" -3 2 3 0 0 NA 2 -2 "a a a" "f f f" "g g z" "n n n" "o o o"
"21" "short_clip_Chapalaa_CHSF2012_01_06_2917220_2924260" "f" "o" "h" "o" "o" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "True" "True" "True" "False" "False" "False" NA "o: and a glottal coda too. v: bit higher and bit more central." NA "Chapalaa" -3 2 2 0 0 NA NA 0 "o a a" "f f f" "h g z" "o n n" "o o o"
"22" "short_clip_Chapalaa_CHSF2012_01_06_2991130_2996400" "f" "o" "z" "n" "@" "f" "c" "z" "n" "x" "f" "o" "g" "n" "@" "True" "False" "False" "True" "False" "True" "False" "True" "True" "False" "True" "False" "False" "True" "False" "True" "True" "False" "True" "True" NA NA NA "Chapalaa" -3 0 3 NA NA NA 1 -1 "@ x @" "f f f" "z z g" "n n n" "o c o"
"23" "short_clip_Chapalaa_CHSF2012_01_06_3133900_3136900" "f" "c" "z" "n" "x" "f" "c" "g" "n" "x" "f" "c" "z" "n" "x" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Chapalaa" -3 -4 3 NA NA NA 1 -1 "x x x" "f f f" "z g z" "n n n" "c c c"
"24" "short_clip_Chapalaa_CHSF2012_01_06_3173990_3177100" "f" "o" "g" "o" "a" "f" "o" "x" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "False" "False" "True" NA "p: slight fall only" NA "Chapalaa" -3 2 2 0 0 NA NA NA "a a a" "f f f" "g x z" "o n n" "o o o"
"25" "short_clip_Chapalaa_CHSF2012_01_06_323590_326404" "f" "o" "z" "n" "a" "f" "o" "x" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA "v: bit higher" NA "Chapalaa" -3 2 3 0 0 NA NA NA "a a a" "f f f" "z x z" "n n n" "o o o"
"26" "short_clip_Chapalaa_CHSF2012_01_06_3296300_3300800" "f" "o" "z" "n" "a" "l" "i" "z" "n" "@" "f" "o" "g" "n" "a" "False" "False" "False" "True" "False" "False" "False" "True" "True" "False" "False" "False" "False" "True" "False" "True" "True" "False" "True" "True" NA "v: but @ goes with intermediate closure, difficult to hear, sounds undershot." NA "Chapalaa" -2 1 3 1 0 NA 1 -1 "a @ a" "f l f" "z z g" "n n n" "o i o"
"27" "short_clip_Chapalaa_CHSF2012_01_06_3338200_3341500" "f" "c" "z" "n" "x" "f" "c" "g" "n" "x" "f" "c" "z" "n" "x" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Chapalaa" -3 -4 3 NA NA NA 1 -1 "x x x" "f f f" "z g z" "n n n" "c c c"
"28" "short_clip_Chapalaa_CHSF2012_01_06_3472040_3476090" "f" "c" "z" "n" "x" "f" "c" "g" "n" "x" "f" "i" "z" "n" "@" "True" "False" "False" "True" "False" "True" "True" "False" "True" "True" "True" "False" "False" "True" "False" "True" "False" "True" "True" "False" NA NA "v: not sure if vowel at all" "Chapalaa" -3 -3 3 NA NA NA 1 -1 "x x @" "f f f" "z g z" "n n n" "c c i"
"29" "short_clip_Chapalaa_CHSF2012_01_06_3879100_3881700" "f" "o" "g" "o" "a" "f" "o" "g" "n" "a" "f" "o" "g" "n" "a" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA "p: very slight fall" NA "Chapalaa" -3 2 2 0 0 NA 3 -3 "a a a" "f f f" "g g g" "o n n" "o o o"
"30" "short_clip_Chapalaa_CHSF2012_01_06_3929300_3932300" "f" "o" "z" "o" "a" "f" "o" "z" "n" "a" "f" "o" "z" "n" "a" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA NA NA "Chapalaa" -3 2 2 0 0 0 0 0 "a a a" "f f f" "z z z" "o n n" "o o o"
"31" "short_clip_Chapalaa_CHSF2012_01_06_3935700_3938800" "f" "o" "z" "o" "a" "f" "o" "z" "n" "a" "f" "o" "z" "n" "a" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA "v: bit higher." NA "Chapalaa" -3 2 2 0 0 0 0 0 "a a a" "f f f" "z z z" "o n n" "o o o"
"32" "short_clip_Chapalaa_CHSF2012_01_06_3983000_3988000" "f" "o" "z" "o" "a" "f" "o" "x" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "True" "False" "True" NA NA NA "Chapalaa" -3 2 2 0 0 NA NA NA "a a a" "f f f" "z x z" "o n n" "o o o"
"33" "short_clip_Chapalaa_CHSF2012_01_06_4060071_4063021" "l" "o" "g" "o" "a" "l" "o" "x" "n" "a" "f" "o" "z" "n" "@" "False" "True" "False" "False" "False" "True" "True" "False" "False" "True" "False" "True" "False" "True" "False" "False" "True" "False" "False" "False" NA NA NA "Chapalaa" -1 2 2 1 0 NA NA NA "a a @" "l l f" "g x z" "o n n" "o o o"
"34" "short_clip_Chapalaa_CHSF2012_01_06_4630700_4637300" "f" "c" "z" "n" "x" "f" "c" "z" "n" "x" "f" "c" "z" "n" "x" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Chapalaa" -3 -4 3 NA NA 0 0 0 "x x x" "f f f" "z z z" "n n n" "c c c"
"35" "short_clip_Chapalaa_CHSF2012_01_06_4752100_4756800" "f" "c" "z" "n" "x" "f" "c" "z" "n" "x" "f" "o" "z" "n" "@" "True" "False" "True" "True" "False" "True" "True" "True" "True" "True" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" NA NA NA "Chapalaa" -3 -2 3 NA NA 0 0 0 "x x @" "f f f" "z z z" "n n n" "c c o"
"36" "short_clip_Chintang_JBR_1330" "r" "o" "h" "n" "@" "r" "o" "x" "n" "a" "r" "o" "z" "n" "a" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "True" "True" "True" "False" "True" "False" NA "o: inaudible because of bad sound, sth of a blip during onset. v: bit more high and central." NA "Chintang" 3 2 3 1 0 NA NA NA "@ a a" "r r r" "h x z" "n n n" "o o o"
"37" "short_clip_Chintang_JBR_1942" "r" "o" "z" "o" "a" "r" "o" "x" "x" "x" "r" "o" "z" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "True" "False" "True" NA "v: bad audio." NA "Chintang" 3 2 NA NA NA NA NA NA "a x a" "r r r" "z x z" "o x n" "o o o"
"38" "short_clip_Chintang_JBR_2008" "r" "o" "z" "o" "E" "r" "o" "x" "n" "@" "r" "o" "z" "n" "@" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "True" "True" "True" "True" "False" "False" NA NA "v: could be a" "Chintang" 3 2 2 2 1 NA NA NA "E @ @" "r r r" "z x z" "o n n" "o o o"
"39" "short_clip_Chintang_JBR_2015" "r" "o" "z" "o" "a" "r" "o" "x" "n" "@" "r" "o" "z" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "False" "True" "True" "True" "False" "True" NA NA NA "Chintang" 3 2 2 1 0 NA NA NA "a @ a" "r r r" "z x z" "o n n" "o o o"
"40" "short_clip_Chintang_porch_postman_0455" "r" "o" "z" "n" "a" "r" "o" "z" "n" "a" "r" "o" "z" "n" "a" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Chintang" 3 2 3 0 0 0 0 0 "a a a" "r r r" "z z z" "n n n" "o o o"
"41" "short_clip_Duna_OIR1_10-07-24_2m49s" "f" "o" "z" "n" "@" "l" "i" "z" "n" "x" "f" "o" "z" "n" "@" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "True" "True" "True" "True" NA "p: actually MHM, is this an OIR interjection?. v: close to @ in quality but inaudible due to closure i." "p: rise-fall" "Duna" -2 1 3 NA NA 0 0 0 "@ x @" "f l f" "z z z" "n n n" "o i o"
"42" "short_clip_Duna_OIR2_10-07-24_9m5s" "r" "c" "z" "n" "x" "r" "c" "x" "n" "x" "r" "o" "z" "n" "e" "True" "False" "False" "True" "False" "True" "True" "False" "True" "True" "True" "False" "False" "True" "False" "True" "False" "True" "True" "False" NA NA NA "Duna" 3 -2 3 NA NA NA NA NA "x x e" "r r r" "z x z" "n n n" "c c o"
"43" "short_clip_Duna_OIR3_10-07-24_14m3s" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Duna" 3 -4 3 NA NA 0 0 0 "x x x" "r r r" "z z z" "n n n" "c c c"
"44" "short_clip_Duna_OIR4_DV17_37m17s" "r" "x" "x" "x" "x" "r" "c" "z" "n" "x" "r" "x" "x" "x" "x" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "True" "True" "True" "True" NA NA NA "Duna" 3 NA NA NA NA NA NA NA "x x x" "r r r" "x z x" "x n x" "x c x"
"45" "short_clip_Duna_OIR5_DV17_37m55s" "r" "o" "z" "o" "@" "r" "o" "z" "n" "E" "r" "o" "g" "n" "e" "True" "True" "False" "False" "False" "True" "True" "True" "False" "False" "True" "True" "False" "True" "False" "True" "True" "False" "False" "False" NA NA NA "Duna" 3 2 2 2 2 NA 1 -1 "@ E e" "r r r" "z z g" "o n n" "o o o"
"46" "short_clip_Dutch_Autosports_1816991_1822526" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Dutch" 3 -4 3 NA NA 0 0 0 "x x x" "r r r" "z z z" "n n n" "c c c"
"47" "short_clip_Dutch_Autosports_423338_427551" "r" "c" "z" "n" "x" "r" "c" "x" "n" "x" "r" "c" "z" "n" "x" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA NA NA "Dutch" 3 -4 3 NA NA NA NA NA "x x x" "r r r" "z x z" "n n n" "c c c"
"48" "short_clip_Dutch_Femmie-Richard_566791_570288" "r" "o" "z" "o" "@" "r" "o" "h" "n" "@" "r" "o" "z" "n" "e" "True" "True" "False" "False" "False" "True" "True" "False" "False" "True" "True" "True" "False" "True" "False" "True" "True" "True" "False" "False" NA NA "v: low, could be E" "Dutch" 3 2 2 3 1 1 NA 1 "@ @ e" "r r r" "z h z" "o n n" "o o o"
"49" "short_clip_Dutch_Housemates_1720852_1726953" "x" "x" "x" "x" "x" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "False" "False" "False" "False" "True" "False" "False" "False" "False" "True" "True" "True" "True" "True" "True" "False" "False" "False" "False" "True" NA NA NA "Dutch" NA NA NA NA NA NA NA NA "x x x" "x r r" "x z z" "x n n" "x c c"
"50" "short_clip_Dutch_Housemates_1906908_1911528" "r" "o" "z" "n" "@" "r" "o" "x" "n" "@" "r" "o" "z" "x" "x" "True" "True" "False" "False" "False" "True" "True" "False" "True" "True" "True" "True" "False" "False" "False" "True" "True" "True" "False" "False" NA NA NA "Dutch" 3 2 NA NA NA NA NA NA "@ @ x" "r r r" "z x z" "n n x" "o o o"
"51" "short_clip_Dutch_Housemates_2458851_2463142" "f" "o" "z" "n" "o" "r" "o" "h" "n" "@" "r" "x" "x" "x" "x" "False" "False" "False" "False" "False" "False" "True" "False" "True" "False" "True" "False" "False" "False" "False" "False" "False" "False" "False" "False" NA NA NA "Dutch" 1 NA NA NA NA NA NA NA "o @ x" "f r r" "z h x" "n n x" "o o x"
"52" "short_clip_Dutch_Housemates_2524406_2527008" "r" "o" "z" "o" "@" "r" "o" "h" "n" "@" "r" "o" "z" "n" "@" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "True" "False" "True" NA "o: actually doubt that h is audible but I feel it. v: bit lower and fronter than @" "v: could be a" "Dutch" 3 2 2 3 0 1 NA 1 "@ @ @" "r r r" "z h z" "o n n" "o o o"
"53" "short_clip_Dutch_Housemates_2555091_2559690" "r" "o" "h" "o" "@" "r" "o" "h" "n" "@" "r" "o" "h" "n" "@" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA "v: more central and lower than @ but not quite a or E" NA "Dutch" 3 2 2 3 0 3 NA 3 "@ @ @" "r r r" "h h h" "o n n" "o o o"
"54" "short_clip_Dutch_Housemates_3268572_3271580" "r" "o" "z" "o" "E" "r" "o" "x" "x" "@" "r" "o" "z" "n" "e" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "True" "False" "False" NA "g: bad sound" "v: could be E" "Dutch" 3 2 NA 2 2 NA NA NA "E @ e" "r r r" "z x z" "o x n" "o o o"
"55" "short_clip_Dutch_Housemates_3270928_3275508" "r" "o" "z" "n" "@" "r" "o" "z" "n" "E" "r" "o" "z" "n" "e" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" NA "v: but bit lower." NA "Dutch" 3 2 3 2 2 0 0 0 "@ E e" "r r r" "z z z" "n n n" "o o o"
"56" "short_clip_Dutch_Housemates_405628_412233" "x" "x" "x" "x" "x" "r" "c" "z" "n" "x" "r" "c" "z" "n" "x" "False" "False" "False" "False" "True" "False" "False" "False" "False" "True" "True" "True" "True" "True" "True" "False" "False" "False" "False" "True" NA NA NA "Dutch" NA NA NA NA NA NA NA NA "x x x" "x r r" "x z z" "x n n" "x c c"
"57" "short_clip_Icelandic_RSGCollegeGirls_00_11_52" "f" "o" "z" "o" "a" "f" "o" "x" "x" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "True" "False" "True" NA NA NA "Icelandic" -3 2 NA 0 0 NA NA NA "a a a" "f f f" "z x z" "o x n" "o o o"
"58" "short_clip_Icelandic_RSGCollegegirls_00_26_32" "f" "o" "h" "n" "a" "f" "o" "x" "n" "a" "f" "o" "h" "n" "a" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA "o: inaudible due to overlap." NA "Icelandic" -3 2 3 0 0 NA NA NA "a a a" "f f f" "h x h" "n n n" "o o o"
"59" "short_clip_Icelandic_RSGCollegegirls_00_27_54" "f" "o" "h" "o" "a" "f" "o" "h" "n" "a" "f" "o" "h" "n" "a" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA "o: but aspiration may be the overlap." NA "Icelandic" -3 2 2 0 0 3 NA 3 "a a a" "f f f" "h h h" "o n n" "o o o"
"60" "short_clip_Icelandic_RSGCollegegirls_00_41_52" "f" "o" "h" "o" "a" "f" "o" "o" "n" "a" "f" "o" "h" "n" "a" "True" "True" "False" "False" "True" "True" "True" "False" "False" "True" "True" "True" "False" "True" "True" "True" "True" "True" "False" "True" NA "o: onset not quite glottal stop but sounds like brief velar closure, is speaker eating?." NA "Icelandic" -3 2 2 0 0 2 NA 2 "a a a" "f f f" "h o h" "o n n" "o o o"
"61" "short_clip_Icelandic_RSGParty_00_07_12" "f" "o" "h" "o" "a" "f" "o" "h" "n" "a" "f" "o" "h" "o" "a" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" NA "n: not sure." NA "Icelandic" -3 2 1 0 0 3 NA 3 "a a a" "f f f" "h h h" "o n o" "o o o"
"62" "short_clip_Icelandic_RSGParty_00_07_12b" "l" "o" "h" "o" "a" "f" "o" "x" "n" "a" "f" "o" "z" "n" "a" "False" "True" "False" "False" "True" "False" "True" "False" "False" "True" "True" "True" "False" "True" "True" "False" "True" "False" "False" "True" NA "v: masked by overlap and nasal." NA "Icelandic" -2 2 2 0 0 NA NA NA "a a a" "l f f" "h x z" "o n n" "o o o"
"63" "short_clip_Icelandic_RSGParty_00_32_36" "f" "o" "h" "o" "a" "f" "o" "h" "o" "a" "f" "o" "h" "n" "a" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" NA NA NA "Icelandic" -3 2 1 0 0 3 NA 3 "a a a" "f f f" "h h h" "o o n" "o o o"
"64" "short_clip_Icelandic_RSGSeniorCitizens_00_02_34" "f" "o" "h" "n" "a" "f" "o" "x" "n" "a" "f" "o" "h" "n" "a" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA "v: difficult to hear" NA "Icelandic" -3 2 3 0 0 NA NA NA "a a a" "f f f" "h x h" "n n n" "o o o"
"65" "short_clip_Icelandic_RSGSeniorCitizens_00_03_06" "f" "o" "z" "o" "a" "f" "o" "z" "n" "a" "f" "o" "h" "n" "a" "True" "True" "False" "False" "True" "True" "True" "True" "False" "True" "True" "True" "False" "True" "True" "True" "True" "False" "False" "True" NA "n: not very much nasalization though." NA "Icelandic" -3 2 2 0 0 1 NA 1 "a a a" "f f f" "z z h" "o n n" "o o o"
"66" "short_clip_Icelandic_RSGSeniorCitizens_00_10_31" "f" "o" "z" "n" "@" "f" "o" "x" "n" "x" "f" "o" "z" "n" "@" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "True" "True" "True" "grunt" "g: extremely breathy low voice." "v: low, could be a" "Icelandic" -3 2 3 NA NA NA NA NA "@ x @" "f f f" "z x z" "n n n" "o o o"
